,App ID,AppName,,Reviews,Rating,,,
124,307764057,niconico,0,182,3,17+,Entertainment,1
125,307906541,Fandango Movies - Times + Tickets,0,291787,4,4+,Entertainment,1
126,308111628,iCab Mobile (Web Browser),1.99,2441,4,17+,Utilities,1
128,308339980,iRagdoll - Ragdoll Physics,0.99,1372,4,12+,Games,1
129,308368164,Proloquo2Go - Symbol-based AAC,249.99,773,4,4+,Education,1
130,308750436,Dictionary.com Dictionary & Thesaurus,0,200047,4,4+,Reference,1
132,308834491,20 Minutes.fr - l'actualité en continu,0,112,3.5,12+,News,1
133,309025938,The Masters Tournament,0,148160,4.5,4+,Sports,1
134,309172177,myAT&T,0,108507,3,4+,Utilities,1
135,309187846,SFR TV,0,46,3,4+,Entertainment,1
136,309465525,"Shutterfly: Prints, Photo Books, Cards Made Easy",0,51427,4,4+,Photo & Video,1
137,309527804,StickWars,0.99,53821,3.5,12+,Games,1
138,309735670,Indeed Job Search,0,38681,4,4+,Business,1
139,310303959,World Cup Table Tennis™,0.99,17776,4,4+,Games,1
140,310633997,WhatsApp Messenger,0,287589,4.5,4+,Social Networking,1
141,310636441,"iStudiez Pro – Homework, Schedule, Grades",2.99,7308,4,4+,Productivity,1
142,310738695,Zillow Real Estate - Homes for Sale & for Rent,0,342969,4.5,4+,Lifestyle,1
144,310951782,2XL Supercross,4.99,6093,4,4+,Games,1
146,311466554,Pocket Tanks Deluxe,4.99,5452,4.5,9+,Games,1
148,311548709,Wells Fargo Mobile,0,43064,3,4+,Finance,1
150,311762416,radio.de - Der Radioplayer,0,64,4.5,4+,Music,1
151,311785642,AutoScout24 - mobile used & new car market,0,220,4.5,4+,Productivity,1
152,311972587,Sky Burger - Build & Match Food Free,0,114096,4.5,4+,Games,1
153,312220102,MindNode – Delightful Mind Mapping,9.99,1296,4,4+,Productivity,1
154,312266675,Packing Pro,2.99,1293,4,4+,Travel,1
155,312325565,USAA Mobile,0,19946,4,4+,Finance,1
156,312343159,The Moron Test,0,88613,4,4+,Entertainment,1
157,313199385,Sunday Lawn,0.99,107727,3.5,4+,Games,1
158,314303518,Peggle Classic,0.99,21416,4.5,4+,Games,1
159,314506629,SmartGo Player,2.99,533,4,4+,Games,1
160,314652382,I Am T-Pain 2.0,2.99,32650,3.5,12+,Music,1
161,314716233,TextNow - Unlimited Text + Calls,0,164963,3.5,4+,Social Networking,1
162,314819528,Boating Weather,1.99,141,3,4+,Weather,1
163,314855255,Best Buy,0,80424,4,4+,Shopping,1
164,314864297,I Dig It,0.99,17190,4,4+,Games,1
165,315021242,Unblock Me,0.99,7973,4,4+,Games,1
166,316025912,Sonic The Hedgehog,2.99,19621,4,4+,Games,1
168,316227296,10 Pin Shuffle Pro Bowling,3.99,7315,4,4+,Games,1
169,316391924,Sky News,0,118,3,12+,News,1
171,317469184,"ESPN: Get scores, news, alerts & watch live sports",0,290996,3.5,4+,Sports,1
172,317809458,LiveATC Air Radio,3.99,2785,4,4+,Travel,1
173,317904170,The Sims 3,6.99,54408,3.5,12+,Games,1
175,318304532,"Chess Pro with Coach - Learn,Play & Online Friends",9.99,8138,4,4+,Games,1
176,318592730,Guess My Age  Math Magic,0,123190,3,4+,Education,1
177,318639200,Crush the Castle,0.99,23810,3.5,12+,Games,1
178,319204550,2016 U.S. Open Golf Championship,0,54192,4,4+,Sports,1
179,319284643,"The Championships, Wimbledon 2016 - Tennis Grand Slam",0,20953,4,4+,Sports,1
180,319295332,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,9.99,71609,4.5,12+,Music,1
181,319740707,NBC News,0,32881,3.5,12+,News,1
182,319881193,"Grindr - Gay and same sex guys chat, meet and date",0,23201,2.5,17+,Social Networking,1
183,320029256,Whole Foods Market,0,17906,3,4+,Shopping,1
184,320279293,NAVIGON Europe,74.99,927,3.5,4+,Navigation,1
185,320300350,Virtual Families,1.99,18920,3.5,9+,Games,1
186,320596872,Sparkasse+,0.99,30,3,4+,Finance,1
187,320599923,Sparkasse - Your mobile branch,0,77,3,4+,Finance,1
188,320606217,Sleep Cycle alarm clock,0,104539,4.5,4+,Health & Fitness,1
189,320636131,FACEinHOLE®,0.99,4016,4,12+,Photo & Video,1
190,320650307,Harvest - Select the Best Produce,1.99,299,4,4+,Food & Drink,1
191,321369231,WORMS,1.99,5758,4,12+,Games,1
192,321756558,Pixel Starships™ : 8Bit MMORPG,0,5565,4.5,9+,Games,1
193,322423174,Traffic Rush,0.99,213092,3.5,9+,Games,1
194,322439990,MyRadar NOAA Weather Radar Forecast,0,150158,4.5,4+,Weather,1
196,322523436,Resident Evil 4: PLATINUM,4.99,6046,4,12+,Games,1
197,323229106,"Waze - GPS Navigation, Maps & Real-time Traffic",0,345046,4.5,4+,Navigation,1
198,323242790,Cartoon Wars,0.99,35930,3.5,12+,Games,1
199,323438913,Moto X Mayhem,0.99,22557,4,4+,Games,1
200,324266640,Fantasy Football Manager - FFM for FPL,0.99,292,3,17+,Sports,1
202,324684580,Spotify Music,0,878563,4.5,12+,Music,1
203,324887734,McDo France,0,22,3.5,4+,Food & Drink,1
204,325462190,PGA Championship 2016 – Baltusrol Golf Club,0,10472,3.5,17+,Sports,1
206,325658560,BFMTV : l'info en continu,0,115,4,17+,News,1
207,325683306,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",1.99,13915,4.5,4+,Weather,1
208,325954996,Spider:  The Secret of Bryce Manor,1.99,6780,4,9+,Games,1
209,325962257,My Measures PRO,7.99,1701,4,4+,Productivity,1
210,326082487,Food Additives Checker (E Numbers),1.99,6,3.5,4+,Health & Fitness,1
212,326161564,SFR Mon Compte,0,19,3,4+,Utilities,1
213,326574411,Baby Connect (Activity Log),4.99,3483,4.5,4+,Medical,1
214,326876192,Epson iPrint,0,2838,3,4+,Photo & Video,1
215,326885152,Mad Libs,0,117889,3,4+,Entertainment,1
217,326979430,BATTLE BEARS: Zombies!,0.99,50710,3.5,9+,Games,1
219,327193945,Hurricane Tracker,2.99,3960,4.5,4+,Weather,1
220,327243363,NFL Sunday Ticket,0,24258,3,4+,Entertainment,1
221,327455869,2016 US Open Tennis Championships,0,37522,4,4+,Sports,1
222,327630330,Dropbox,0,49578,3.5,4+,Productivity,1
223,328011357,Wa Kingyo - Goldfish Pond,0.99,626,4,4+,Entertainment,1
224,328205875,Monkey Preschool Lunchbox,1.99,9286,4,4+,Games,1
225,328415391,Yahoo Fantasy Sports,0,190670,3.5,17+,Sports,1
226,329127297,Gaia GPS Classic,19.99,2429,4.5,4+,Navigation,1
227,329174056,iLoan Calc (Loan calculator),3.99,0,0,4+,Finance,1
228,329541503,Geocaching®,0,12811,3.5,4+,Navigation,1
229,329670577,Camera+,1.99,32338,4,4+,Photo & Video,1
230,329703516,Alter Ego,4.99,262,4,12+,Games,1
231,329887910,Parking Mania,0.99,9657,4.5,4+,Games,1
232,329981776,Sudoku⁺,2.99,18332,4.5,4+,Games,1
234,330376830,Period Tracker Lite,0,53620,4,12+,Health & Fitness,1
235,330803072,Camera Plus: For Macro Photos & Remote Photography,0.99,38533,2.5,4+,Photo & Video,1
236,331004675,The perfect Egg timer,0.99,40,3.5,4+,Food & Drink,1
237,331177703,Letter Quiz - alphabet tracing for kids,1.99,472,4,4+,Games,1
238,331177714,Starbucks,0,303856,4.5,4+,Food & Drink,1
239,331259725,央视影音-海量央视内容高清直播,0,2070,2.5,4+,Sports,1
240,331271904,Bloons TD,2.99,7941,4,4+,Games,1
241,331308914,Weight Watchers,0,136833,3.5,12+,Health & Fitness,1
242,331786748,"CNN: Breaking US & World News, Live Video",0,112886,3.5,12+,News,1
243,331804452,Gilt,0,26353,3.5,4+,Shopping,1
245,332568551,TRUTH or DARE!!! - FREE,0,171055,3,12+,Entertainment,1
246,333180061,Canabalt,2.99,4540,4,9+,Games,1
247,333206289,Alipay - Makes Life Easy,0,1926,3,4+,Lifestyle,1
248,333246187,Scanner911 Pro,3.99,14345,4,12+,News,1
249,333263435,Daily Teachings,4.99,1340,4.5,4+,Lifestyle,1
250,333710667,Scanner Pro - PDF document scanner app with OCR,3.99,31912,4.5,4+,Business,1
251,333903271,Twitter,0,354058,3.5,17+,News,1
252,334235181,"Trainline UK: Live Train Times, Tickets & Planner",0,248,4,4+,Travel,1
253,334256223,CBS News - Watch Free Live Breaking News,0,11691,3.5,12+,News,1
254,334264405,iOvilus,1.99,381,3,12+,Entertainment,1
255,334503000,The Impossible Quiz!,0,18884,4,9+,Entertainment,1
257,334989259,WolframAlpha,2.99,7410,4,9+,Reference,1
258,335029050,Catan,1.99,15175,4,4+,Games,1
259,335047649,ScanBizCards Business Card Reader,0.99,3166,4,4+,Business,1
261,335364882,"Walgreens – Pharmacy, Photo, Coupons and Shopping",0,88885,4.5,12+,Shopping,1
262,335545504,King of Dragon Pass,9.99,882,5,12+,Games,1
263,335709058,Stylebook,3.99,1729,4,17+,Lifestyle,1
264,335744614,NBA,0,43682,3.5,4+,Sports,1
265,335862325,Blower,0.99,861,2,4+,Entertainment,1
266,335875911,My Cycles Period and Ovulation Tracker,0,7469,3.5,12+,Health & Fitness,1
267,335989871,"Kmart – Download Now, Shop Online & Pick Up Today!",0,4186,3.5,4+,Shopping,1
268,336141475,优酷视频,0,4885,3.5,12+,Entertainment,1
269,336347946,DOOM Classic,4.99,3970,4,17+,Games,1
270,336353151,SoundCloud - Music & Audio,0,135744,4,4+,Music,1
271,336435697,imo video calls and chat,0,18841,4,4+,Social Networking,1
272,336477530,Plane Finder - Flight Tracker,3.99,1438,4,4+,Navigation,1
274,336599882,"Runtastic Running, Jogging and Walking Tracker",0,10298,4.5,4+,Health & Fitness,1
275,336683524,iFiles,0.99,1842,3.5,4+,Productivity,1
276,336689375,TeachMe: Kindergarten,1.99,2548,4,4+,Education,1
277,336834650,Moorhuhn Deluxe - Crazy Chicken,0.99,319,3,12+,Games,1
278,336860594,Victoria’s Secret – The Sexiest Bras & Lingerie,0,34507,3.5,12+,Shopping,1
279,337021781,MONOPOLY Game,0.99,26482,3.5,4+,Games,1
281,337056601,n-tv Nachrichten,0,273,3,12+,News,1
282,337288863,Shazam Encore,2.99,8331,4,12+,Music,1
283,337402021,Harry Potter: Spells,0.99,17023,4,4+,Games,1
284,337462979,First Words Deluxe,4.99,1101,4,4+,Games,1
285,337571576,Clay Hunt,0.99,1193,4,17+,Games,1
286,337710261,Dream Team - be your own fantasy football manager,0,35,2.5,17+,Sports,1
287,337866370,Jet Car Stunts,1.99,4088,4,4+,Games,1
288,338057689,Call of Duty: Zombies,4.99,63943,4,17+,Games,1
289,338137227,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",0,70286,3,4+,Shopping,1
290,338761996,AirWatch Agent,0,1150,2.5,4+,Business,1
291,338828953,Shop Savvy Barcode Scanner - Price Compare & Deals,0,54630,2.5,4+,Shopping,1
292,339440515,Voice Changer Plus,0,98777,3,4+,Entertainment,1
293,339462921,CatPaint,0.99,649,4,4+,Photo & Video,1
294,339532909,Redbox,0,60236,3,12+,Entertainment,1
295,340368403,クックパッド - No.1料理レシピ検索アプリ,0,115,3.5,4+,Food & Drink,1
296,340769953,Trenches,0.99,26732,4,17+,Games,1
297,340779800,The Christmas List,1.99,2722,4.5,4+,Shopping,1
298,341036067,Macy's,0,11013,3.5,4+,Shopping,1
299,341232718,Calorie Counter & Diet Tracker by MyFitnessPal,0,507706,4.5,4+,Health & Fitness,1
300,341329033,BlaBlaCar - Trusted Carpooling,0,397,4.5,4+,Travel,1
301,341691394,Refills Calendar - Scheduler - Note,9.99,196,4,4+,Productivity,1
302,341776037,5-0 Radio Pro Police Scanner (Extra Feeds),3.99,24553,4,9+,News,1
303,342115564,Hipstamatic,2.99,12557,3.5,4+,Photo & Video,1
304,342138881,Sing Karaoke Songs Unlimited with StarMaker,0,26227,4,9+,Music,1
305,342548956,TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,4.99,28388,5,4+,Business,1
307,342602105,Positivity with Andrew Johnson,2.99,282,4,4+,Health & Fitness,1
308,342699962,Rat On A Scooter XL,0.99,19296,4,4+,Games,1
309,342792525,IMDb Movies & TV - Trailers and Showtimes,0,183425,4.5,12+,Entertainment,1
310,343200656,Angry Birds,0,824451,4.5,4+,Games,1
311,343555245,DB Navigator,0,512,3.5,4+,Travel,1
312,343638336,Video Calls with Santa,2.99,315,3.5,4+,Lifestyle,1
313,343889987,Voyages-sncf.com : book train and bus tickets,0,268,3.5,4+,Travel,1
314,344065205,The Font Game,1.99,438,4.5,4+,Games,1
316,344176018,ImmobilienScout24: Real Estate Search in Germany,0,187,3.5,4+,Navigation,1
317,344186162,Grand Theft Auto: Chinatown Wars,4.99,15142,4,17+,Games,1
318,344542975,Southwest Airlines,0,30552,3,4+,Travel,1
319,345445479,The Sims 3 World Adventures,2.99,9744,3.5,12+,Games,1
320,345542655,Star Chart,0,13482,4.5,4+,Education,1
321,346184215,TaxCaster – Free tax refund calculator,0,17516,3.5,4+,Finance,1
322,346453382,Glow Hockey 2 FREE,0,186653,3.5,4+,Games,1
323,346513173,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",0.99,10031,4,4+,Entertainment,1
324,346997126,TV SPIELFILM - TV Programm mit Live TV,0,81,3,4+,Entertainment,1
325,347310316,All-in-1 Logic GameBox,0.99,9854,4,4+,Games,1
326,347393479,Roadside America,2.99,1093,4,9+,Travel,1
327,347400507,Pocket Yoga,2.99,4475,4.5,4+,Health & Fitness,1
328,347411942,Sonic the Hedgehog 2,2.99,9405,4,4+,Games,1
330,347418999,Simply Being - Guided Meditation for Relaxation and Presence,1.99,2417,4.5,4+,Health & Fitness,1
331,347803339,CamCard - Business card scanner & reader,0.99,2923,4.5,4+,Business,1
332,348530331,This American Life,2.99,8657,3.5,9+,Entertainment,1
333,348543978,Timetracks - Slit-Scan Camera,0.99,70,2,4+,Photo & Video,1
335,348684697,franceinfo - l'actualité & les élections en direct,0,162,4,17+,News,1
337,349079731,DOUBUTSU URANAI®-Animal Fortune-,0.99,5,4,4+,Lifestyle,1
338,349276209,Doodle Army,0.99,12354,4,12+,Games,1
339,349442137,Ameba,0,269,3,12+,Social Networking,1
340,350480010,eBook: War and Peace,3.99,0,0,9+,Book,1
341,350642635,Plants vs. Zombies,0.99,426463,5,9+,Games,1
342,350962117,Weibo,0,7265,3.5,17+,Social Networking,1
343,351091731,大众点评-发现品质生活,0,844,4,17+,Lifestyle,1
344,351184863,AlloCiné : Cinéma et Séries,0,101,4,12+,Entertainment,1
345,351331194,"Badoo - Meet New People, Chat, Socialize.",0,34428,4.5,17+,Social Networking,1
346,351707231,Flick Kick Field Goal,1.99,36946,4.5,4+,Games,1
347,351727428,Venmo,0,21090,4.5,4+,Finance,1
348,351939099,"Dungeons & Such Treasures,Collectibles and Dragons",2.99,653,4.5,12+,Games,1
349,351986992,"StarMap 3D+: Night Sky, Astronomy, Star View Guide",3.99,1118,4.5,4+,Education,1
350,352000376,Shift Worker,1.99,348,4,4+,Productivity,1
351,352041837,"Spy Calc - Hide pictures, videos, documents",1.99,207,3.5,9+,Utilities,1
352,352199775,Waterlogged - Daily Hydration Tracker,0,5000,4.5,12+,Health & Fitness,1
353,352247139,MyNetDiary PRO - Calorie Counter and Food Diary,3.99,15188,4.5,12+,Health & Fitness,1
354,352509417,The Washington Post Classic,0,18572,4.5,12+,News,1
355,352670055,F-Sim Space Shuttle,4.99,6403,4.5,4+,Games,1
356,352683833,"Groupon - Deals, Coupons & Discount Shopping App",0,417779,4.5,12+,Shopping,1
357,353372460,Learn to Speak Spanish Fast With MosaLingua,4.99,9,5,12+,Education,1
358,353573707,"Coaster VR, Extreme Endless 3D Stereograph",0.99,107,2.5,4+,Entertainment,1
359,353603279,Parents Calling Easter Bunny,1.99,72,2,4+,Lifestyle,1
360,353642901,Sporcle,2.99,2044,3.5,9+,Games,1
361,353665650,"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",0,16683,3.5,4+,Sports,1
362,354051766,DOOM II RPG,0.99,1455,3,12+,Games,1
364,354655665,STREET FIGHTER IV,4.99,15056,4,17+,Games,1
365,354850853,Dr. Seuss Camera - The Cat in the Hat Edition,0.99,249,4.5,4+,Photo & Video,1
366,354972939,FINAL FANTASY,7.99,6091,4,9+,Games,1
367,354974729,FINAL FANTASY II,7.99,2754,4,9+,Games,1
369,355524910,Worms 2: Armageddon,4.99,9870,4.5,12+,Games,1
370,355554941,SoundHound Song Search & Music Player,0,82602,4,9+,Music,1
371,355709084,Jourist Weltübersetzer,7.99,0,0,4+,Travel,1
372,355940964,TeachMe: 1st Grade,1.99,762,4,4+,Education,1
373,356618664,TeachMe: 3rd Grade,1.99,160,4,4+,Education,1
374,356968629,ヤフオク! 利用者数NO.1のオークション、フリマアプリ,0,9,3,17+,Shopping,1
375,357218860,Kik,0,260965,4,12+,Social Networking,1
376,357404131,Slow Shutter Cam,1.99,2305,4,4+,Photo & Video,1
377,357421934,PeakFinder Earth,4.99,137,4,4+,Travel,1
379,357467791,AgingBooth,0,11999,4,4+,Entertainment,1
380,357577420,"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",1.99,1995,4.5,12+,Photo & Video,1
381,357828853,Tabs & Chords by Ultimate Guitar - learn and play,2.99,35045,4.5,4+,Music,1
382,358055270,"Dude, your car!",0.99,343,4,4+,Entertainment,1
383,358207332,Drawing Pad,1.99,1824,4,4+,Entertainment,1
385,359891723,ESPN Tournament Challenge,0,39642,4,4+,Sports,1
386,359917414,Solitaire,0,679055,4.5,4+,Games,1
388,360593530,Notability,9.99,17594,4,4+,Productivity,1
390,361231506,Rubik's® Cube,1.99,3531,4,4+,Games,1
391,362179828,Super Why! Power to Read,3.99,1080,3.5,4+,Education,1
392,362348516,Amex Mobile,0,11421,4,4+,Finance,1
393,362949845,Fruit Ninja Classic,1.99,698516,4.5,4+,Games,1
395,363201632,Animation Creator HD,3.99,4497,4,12+,Entertainment,1
396,363282253,Plants vs. Zombies HD,0.99,163598,5,9+,Games,1
397,363306776,SCRABBLE Premium for iPad,9.99,39678,3.5,4+,Games,1
398,363317633,Graphic - illustration and design,8.99,1809,4.5,4+,Productivity,1
399,363360636,Ship Finder,4.99,624,3.5,4+,Navigation,1
400,363448251,Photogene ⁴,2.99,3761,4.5,4+,Photo & Video,1
401,363451838,Hurricane HD,3.99,353,4,12+,Weather,1
402,363486802,Star Walk HD - Night Sky Map,4.99,6503,4.5,4+,Education,1
403,363486833,Space War HD,0.99,71,3,4+,Games,1
404,363590051,Netflix,0,308844,3.5,4+,Entertainment,1
405,363738376,forScore,9.99,3909,4.5,4+,Music,1
406,363992049,ComicGlass [ComicReader],2.99,308,4.5,12+,Utilities,1
407,363998953,iAnnotate PDF,9.99,11156,4.5,4+,Productivity,1
408,364017607,ArtStudio for iPad - Draw Sketch and Paint,4.99,8542,4.5,4+,Photo & Video,1
409,364159440,Call of Duty: Zombies HD,4.99,5853,3.5,17+,Games,1
410,364165557,Small World 2,1.99,1506,4,9+,Games,1
411,364183992,Qzone,0,1649,3.5,4+,Social Networking,1
412,364191819,ABC – Watch Live TV & Stream Full Episodes,0,78890,3,12+,Entertainment,1
413,364204209,Fieldrunners for iPad,3.99,2147,4,9+,Games,1
414,364234221,Angry Birds HD,0,89110,4.5,4+,Games,1
